Rawdata, Time, Device, Slot-id, type, x, y
02f362fcdc6, 1970-01-01-11:47:12.086, 0, 0, down, 764, 1478
12f3616fe07, 1970-01-01-11:47:12.086, 0, 1, down, 367, 1543
02f3f2fcdd4, 1970-01-01-11:47:12.095, 0, 0, down, 764, 1492
12f3f16fe16, 1970-01-01-11:47:12.095, 0, 1, down, 367, 1558
02f482fbde3, 1970-01-01-11:47:12.104, 0, 0, down, 763, 1507
12f4816fe27, 1970-01-01-11:47:12.104, 0, 1, down, 367, 1575
02f512fadf1, 1970-01-01-11:47:12.113, 0, 0, down, 762, 1521
12f51170e37, 1970-01-01-11:47:12.113, 0, 1, down, 368, 1591
02f5a2f9e00, 1970-01-01-11:47:12.122, 0, 0, down, 761, 1536
12f5a170e47, 1970-01-01-11:47:12.122, 0, 1, down, 368, 1607
02f622f8e10, 1970-01-01-11:47:12.130, 0, 0, down, 760, 1552
12f62170e55, 1970-01-01-11:47:12.130, 0, 1, down, 368, 1621
02f6d2f6e21, 1970-01-01-11:47:12.141, 0, 0, down, 758, 1569
12f6d170e63, 1970-01-01-11:47:12.141, 0, 1, down, 368, 1635
02f732f4e30, 1970-01-01-11:47:12.147, 0, 0, down, 756, 1584
12f7416fe72, 1970-01-01-11:47:12.148, 0, 1, down, 367, 1650
02f7e2f2e40, 1970-01-01-11:47:12.158, 0, 0, down, 754, 1600
12f7e16fe82, 1970-01-01-11:47:12.158, 0, 1, down, 367, 1666
02f852efe50, 1970-01-01-11:47:12.165, 0, 0, down, 751, 1616
12f8516fe8f, 1970-01-01-11:47:12.165, 0, 1, down, 367, 1679
02f8f2ede5e, 1970-01-01-11:47:12.175, 0, 0, down, 749, 1630
12f8f16fe9b, 1970-01-01-11:47:12.175, 0, 1, down, 367, 1691
02f972ece6a, 1970-01-01-11:47:12.183, 0, 0, down, 748, 1642
12f9716fea7, 1970-01-01-11:47:12.183, 0, 1, down, 367, 1703
02fa12ece75, 1970-01-01-11:47:12.193, 0, 0, down, 748, 1653
12fa116feb3, 1970-01-01-11:47:12.193, 0, 1, down, 367, 1715
02fa82ebe80, 1970-01-01-11:47:12.200, 0, 0, down, 747, 1664
12fa816febe, 1970-01-01-11:47:12.200, 0, 1, down, 367, 1726
02fb32eae8b, 1970-01-01-11:47:12.211, 0, 0, down, 746, 1675
12fb316fec8, 1970-01-01-11:47:12.211, 0, 1, down, 367, 1736
02fba2e9e97, 1970-01-01-11:47:12.218, 0, 0, down, 745, 1687
12fba171ed1, 1970-01-01-11:47:12.218, 0, 1, down, 369, 1745
02fc42e9ea3, 1970-01-01-11:47:12.228, 0, 0, down, 745, 1699
12fc4172edc, 1970-01-01-11:47:12.228, 0, 1, down, 370, 1756
02fcc2e8ead, 1970-01-01-11:47:12.236, 0, 0, down, 744, 1709
12fcc173ee7, 1970-01-01-11:47:12.236, 0, 1, down, 371, 1767
02fdc2e86ad, 1970-01-01-11:47:12.252, 0, 0, up, 744, 1709
12fdc1736e7, 1970-01-01-11:47:12.252, 0, 1, up, 371, 1767
